291750504,14827,14470,14832,5948,5962,2063,8668,7782,7297,5945,5952,,,,,,,,,,,
54693244,14825,8525,8533,4581,12422,4705,6147,5543,809,6362,,,,,,,,,,,,
223537095,14817,14819,14818,14820,14745,14815,14795,14646,14771,14775,14816,14511,14772,14770,14743,14813,14730,14645,14814,14412,,
397467820,14804,12460,12222,12409,13217,8716,8525,2875,544,14612,13223,13228,8531,8536,13227,14589,13,1164,1160,2758,,
64550479,14792,8329,13389,2384,4596,13519,2403,2059,5938,14424,12040,1044,14533,8332,5939,8698,4563,9367,8699,8685,,
45211281,14787,6159,7592,14009,1375,1373,1378,1374,14462,13431,6374,12147,6944,451,11219,,,,,,,
400595783,14783,14226,13019,13184,551,14223,2090,10040,12985,12895,,,,,,,,,,,,
208720072,14766,13012,11788,,,,,,,,,,,,,,,,,,,
117344748,14764,10296,10506,10432,10165,3225,7761,,,,,,,,,,,,,,,
399783535,14762,14761,9700,9689,9612,5554,13206,1388,9625,9623,9624,9637,12166,9635,3829,3756,9633,,,,,
47543445,14759,3325,7240,,,,,,,,,,,,,,,,,,,
456383615,14757,8864,3960,13749,,,,,,,,,,,,,,,,,,
30523732,14748,14742,14780,10736,4200,4223,1042,14309,4216,11180,3216,9275,9276,14316,10039,4199,7759,71,,,,
29470988,14748,14742,14583,14780,4593,4942,4960,4747,1429,8002,4978,8003,50,9145,4948,,,,,,,
170381618,14742,14748,14751,14746,14649,14395,14401,14780,9072,3042,3044,3043,10040,9990,4582,4588,,,,,,
116915338,14718,9160,9563,9250,4716,,,,,,,,,,,,,,,,,
65183563,14710,8403,14598,10695,10891,10815,10816,10767,10786,10733,4237,4236,10724,807,14207,10885,8404,5001,10985,11516,,
449291300,14706,1,14446,2043,11780,14707,13027,6030,11063,1514,803,14452,,,,,,,,,,
338906477,14677,14680,14679,14681,14678,9580,9435,,,,,,,,,,,,,,,
44457763,14676,,,,,,,,,,,,,,,,,,,,,
64934059,14662,1167,3245,11029,2562,13284,6088,1727,7081,11848,11028,11195,1986,13333,13296,14347,5561,12164,7742,6624,,
222510984,14655,12850,,,,,,,,,,,,,,,,,,,,
60968269,14637,14427,3400,14595,5116,,,,,,,,,,,,,,,,,
342415582,14635,14631,14634,14632,14633,10457,10359,10444,11497,10502,2993,12188,,,,,,,,,,
320155311,14622,10230,11390,5137,8486,12125,8424,2970,8426,5709,8488,5138,1183,6349,7628,13746,10288,10268,10394,10232,,
32020448,14604,5379,13987,14459,5377,2062,5378,13986,13985,11031,,,,,,,,,,,,
455890577,14601,12523,7858,8996,283,,,,,,,,,,,,,,,,,
400513313,14592,14591,610,609,2304,10010,1586,1585,1581,1579,9158,611,613,612,,,,,,,,
114912638,14585,12942,13049,13189,4680,1522,11366,7189,2386,6674,1512,12939,,,,,,,,,,
460026838,14580,14579,10890,10786,10789,8516,4341,10819,10787,10717,2665,10809,10756,10886,12206,,,,,,,
44437738,14538,14529,14456,11955,,,,,,,,,,,,,,,,,,
31356663,14532,14748,14780,14742,9316,7783,7784,14835,11358,4892,10653,8244,9553,9176,1566,999,998,,,,,
457122065,14530,4879,10761,4083,10732,6725,4665,10849,10798,12164,5082,10763,14426,10695,10786,10774,7581,10807,10886,,,
167008416,14518,14513,9965,9975,9979,,,,,,,,,,,,,,,,,
455952344,14502,3971,3975,3974,3979,3978,3976,3977,3972,3983,3982,3980,12750,3973,3981,14760,9995,10088,4211,,,
32074783,14491,14492,4660,11975,11314,9842,4249,7581,9834,9864,3101,,,,,,,,,,,
458216882,14488,14550,1570,1569,9132,11999,12256,12888,3442,3441,,,,,,,,,,,,
151446071,14473,14475,14474,9583,9120,9347,,,,,,,,,,,,,,,,
43743181,14472,7592,597,12804,8801,1371,813,8165,11217,2420,14252,6178,,,,,,,,,,
43672213,14464,7550,8791,3101,5952,9990,,,,,,,,,,,,,,,,
65698360,14461,9556,9411,366,7606,8697,5291,5294,,,,,,,,,,,,,,
5609856,14455,14454,8817,8816,5091,5089,5090,8818,8721,9562,9334,2496,14453,,,,,,,,,
209404315,14447,3522,9297,7603,7082,13297,1516,11821,13299,4586,,,,,,,,,,,,
209404315,14447,3522,9297,7603,7082,13297,1516,11821,13299,4586,,,,,,,,,,,,
116818840,14443,9209,12423,,,,,,,,,,,,,,,,,,,
117144290,14443,4106,13224,,,,,,,,,,,,,,,,,,,
96857564,14433,11512,6523,12807,696,8811,5809,6468,2080,6522,,,,,,,,,,,,
221438327,14432,8814,6486,6462,10061,6457,5808,4903,808,3134,13375,12808,6343,,,,,,,,,
185816758,14422,2394,14246,14582,14692,5350,14577,3648,14729,6581,14581,4252,7379,4839,14799,5024,10986,3256,4810,4835,,
63314149,14419,5692,14515,2747,1709,4683,14812,14514,4197,14516,1716,3212,4553,815,6608,2074,5088,12554,6301,,,
459562249,14414,9740,14413,1064,13912,9961,9959,13911,9834,7817,9932,9946,9772,9965,9842,,,,,,,
221898671,14403,11765,8384,3406,7866,13975,1718,7288,11285,13976,2374,14808,1719,6359,6388,8383,1717,,,,,
116723561,14400,5273,3579,5236,5250,5260,5262,5249,14368,2746,2918,,,,,,,,,,,
247559419,14398,10919,1369,9584,3993,13276,,,,,,,,,,,,,,,,
250036390,14397,10032,9266,12007,5317,5312,5316,10284,6810,9810,2830,5232,5984,10033,5318,13542,5320,10067,10066,5310,,
250036390,14397,10032,9266,12007,5317,5312,5316,10284,6810,9810,2830,5232,5984,10033,5318,13542,5320,10067,10066,5310,,
266282677,14397,9682,9646,7829,9689,9648,1155,5855,9635,1497,1447,7791,9610,10556,9657,9664,9660,4280,11019,5365,,
90179681,14397,9522,6645,8443,6194,6196,8442,9394,9164,2197,11812,7821,11817,9007,11589,11243,1150,5797,11585,11586,,
86489603,14397,9127,9126,1045,7642,14531,9566,9563,9298,9250,9273,9272,9367,9160,9355,9157,9152,14742,14616,14724,,
303430948,14397,7307,4979,7302,4974,9563,,,,,,,,,,,,,,,,
98224067,14397,5860,5857,9689,9648,9599,5859,9649,9595,5856,9601,9692,9674,5855,7829,9656,5858,5863,10039,9596,,
83249909,14397,4974,4979,4958,4960,4942,12101,12014,4964,4971,4944,4972,4957,9563,9298,8020,8022,4959,3338,1108,,
84604268,14397,4832,4826,4824,4819,11258,11248,4820,4823,7642,1045,4833,4817,11244,4829,4830,4818,11254,11385,4828,,
257966146,14397,4501,4427,10082,10047,4462,4461,4451,4450,4381,4443,4434,4504,4384,4446,4382,4409,4428,4416,4399,,
93897056,14397,1219,14220,1220,1207,1191,1192,1187,1197,14673,1211,1210,7972,1108,1194,14225,1190,14215,6933,6836,,
268161820,14397,505,484,496,494,4501,4462,4433,4370,4380,4388,475,12466,2464,493,10982,2085,4377,4460,495,,
117666880,14391,9296,9429,552,2354,14525,14524,,,,,,,,,,,,,,,
64711882,14390,8991,14384,5008,14742,2384,14533,2401,9072,1768,5,4913,2007,4152,2403,5074,6270,7790,8423,9990,,
61022125,14387,4573,7358,7359,565,564,,,,,,,,,,,,,,,,
459281371,14381,11168,11166,11167,13579,13104,1244,13090,359,,,,,,,,,,,,,
117279892,14365,4501,4396,4423,4503,,,,,,,,,,,,,,,,,
47318769,14364,10565,10583,11301,10566,6246,10588,11302,,,,,,,,,,,,,,
117507848,14340,2398,2397,4240,14695,14822,14657,14658,14659,,,,,,,,,,,,,
97756521,14295,8849,8913,9398,,,,,,,,,,,,,,,,,,
426296264,14295,7594,11708,14296,8913,4689,9338,7568,,,,,,,,,,,,,,
416300923,14277,14274,2992,1884,14282,,,,,,,,,,,,,,,,,
46057201,14277,8025,6003,14278,,,,,,,,,,,,,,,,,,
215611754,14277,3772,1884,14,14790,3408,,,,,,,,,,,,,,,,
34714485,14215,9072,11174,4857,,,,,,,,,,,,,,,,,,
30515866,14215,,,,,,,,,,,,,,,,,,,,,
44904946,14202,1500,7088,11663,13401,13696,2466,509,560,511,1986,2056,4338,2463,475,12814,12461,3200,6292,,,
447651581,14198,2737,2719,12299,5324,14785,14650,,,,,,,,,,,,,,,
203644825,14187,10877,14197,14188,14191,8491,14265,7175,14185,,,,,,,,,,,,,
330071544,14186,14189,14194,14195,14196,10877,10879,10882,10884,10883,10878,10880,10881,14193,14192,10756,10833,10727,10867,10690,,
434391182,14186,10872,3367,13471,10756,,,,,,,,,,,,,,,,,
42077021,14181,14183,14182,13820,,,,,,,,,,,,,,,,,,
366520487,14171,7437,14322,5779,8483,,,,,,,,,,,,,,,,,
204123016,14169,14168,14167,6397,14170,538,,,,,,,,,,,,,,,,
